Player,Age,Team,Estimated Value
Solly March,31,Brighton & Hove Albion,€2M
Diego Gómez,22,Brighton & Hove Albion,€2M
Joël Veltman,34,Brighton & Hove Albion,€1.9M
Eric da Silva Moreira,19,Nottingham Forest,€1.7M
Caleb Kporha,19,Crystal Palace,€1.7M
Josh Laurent,30,Burnley FC,€1.6M
Calvin Ramsay,22,Liverpool FC,€1.6M
Matai Akinmboni,19,Bournemouth,€1.6M
Emil Krafth,31,Newcastle United,€1.4M
Zach Abbott,19,Nottingham Forest,€1.4M
Ahmed Abdullahi,21,Sunderland AFC,€1.4M
Luke O'Nien,31,Sunderland AFC,€1.3M
Kaden Rodney,21,Crystal Palace,€1.2M
Daniel Bentley,32,Wolverhampton Wanderers,€1.2M
Angus Gunn ,30,Nottingham Forest,€1.2M
Benjamin Lecomte,34,Fulham FC,€1.2M
Nathaniel Clyne,34,Crystal Palace,€1.2M
Harrison Jones,21,Sunderland AFC,€1.2M
Idrissa Gueye,36,Everton FC,€1.1M
Milan Aleksic,20,Sunderland AFC,€1.1M
Max Alleyne,20,Manchester City,€1.1M
James Milner,40,Brighton & Hove Albion,€1M
Martin Dúbravka,37,Burnley FC,€1M
Mateus Mané,18,Wolverhampton Wanderers,€1M
Jason Steele,35,Brighton & Hove Albion,€1.0M
Adam Smith,34,Bournemouth,€1.0M
Keiber Lamadrid,22,West Ham United,€0.9M
Alex Murphy,21,Newcastle United,€0.9M
Charlie Crew,19,Leeds United,€0.9M
Teddy Sharman-Lowe,22,Chelsea,€0.8M
Tom Cairney,35,Fulham FC,€0.8M
Lukasz Fabianski ,40,West Ham United,€0.8M
Rio Cardines,19,Crystal Palace,€0.8M
Willy Boly,35,Nottingham Forest,€0.7M
John Ruddy,39,Newcastle United,€0.7M
Ashley Barnes,36,Burnley FC,€0.7M
Tom McGill,25,Brighton & Hove Albion,€0.7M
Brandon Austin,27,Tottenham,€0.7M
Ellery Balcombe,26,Brentford FC,€0.7M
Séamus Coleman,37,Everton FC,€0.7M
Václav Hladký,35,Burnley FC,€0.6M
Marcus Bettinelli,33,Manchester City,€0.6M
Alex Cairns,33,Leeds United,€0.6M
Remi Matthews,32,Crystal Palace,€0.5M
Sam Byram,32,Leeds United,€0.5M
Melker Ellborg,22,Sunderland AFC,€0.5M
Rhys Williams,25,Liverpool FC,€0.5M
Tom King,30,Everton FC,€0.4M
Harvey Davies,22,Liverpool FC,€0.4M
Simon Moore,35,Sunderland AFC,€0.4M
Mark Gillespie,33,Newcastle United,€0.4M
Tom Heaton,39,Manchester United,€0.4M
Karl Darlow,35,Leeds United,€0.4M
Fraser Forster,37,Bournemouth,€0.2M
Ezra Mayers,19,West Ham United,€0.2M
